A At 978
A_menudo Often 731
Abajo Down 904
Abierto Open 749
Acampar Camp 131
Acerca_de About 942
Acero Steel 80
Acorde Chord 38
Acto Act 823
Acuerdo Deal 140
Adelante Forward 78
Además Also 844
Adivinar Guess 199
Agua Water 910
Agudo Sharp 197
Agujero Hole 301
Ahí There 959
Ahora Now 901
Aire Air 845
Ajuste Fit 257
Ala Wing 196
Alcanzar Reach 634
Alegre Glad 36
Alegría Joy 430
Algodón Cotton 129
Alguna Any 899
Alguna_vez Ever 692
Algunos Some 966
Alimentar Feed 59
Almacenar Store 444
Alto High 826
Amable Gentle 249
Amarillo Yellow 161
Ambos Both 733
Amigo Friend 716
Amor Love 613
Amplio Wide 486
Ancho Broad 107
Anillo Ring 237
Animal Animal 808
Antes_de Before 857
Antiguo Old 853
Añadir Add 832
Año Year 883
Años Age 325
Apagado Off 815
Aparecer Appear 609
Apoyo Support 13
Aprender Learn 787
Apropiado Proper 29
Apuntalar Shore 46
Aquellos Those 734
Aquí Here 829
árbol Tree 772
Arena Sand 363
Arriba Up 957
Art Art 461
Ascensor Lift 152
Así Thus 210
Asi_que So 935
Asiento Seat 51
Asustado Afraid 83
átomo Atom 229
Atrapado Caught 234
Aumento Raise 393
Aunque Though 689
Avión Plane 525
Ayuda Help 865
Azúcar Sugar 98
Azul Blue 541
Baile Dance 490
Bajo Low 864
Banco Bank 254
Banda Band 66
Bar Bar 28
Base Base 709
Basic Basic 56
Bastante Quite 347
Bebé Baby 399
Beber Drink 15
Belleza Beauty 575
Bien Well 844
Blanco White 745
Bloquear Block 149
Boca Mouth 294
Bonita Pretty 96
Borde Edge 419
Bosque Forest 448
Brazo Arm 487
Brillante Bright 413
Brillar Shine 116
Bueno Good 879
Buscar Search 163
Caballo Horse 707
Cabello Hair 383
Cabeza Head 799
Cable Wire 267
Cada Each 951
Caja Box 583
Calentar Warm 561
Caliente Hot 970
Calle Street 550
Calor Heat 510
Cama Bed 455
Cambio Change 819
Caminar Walk 741
Camino Way 943
Camión Truck 124
Campana Bell 185
Campo Field 581
Canción Song 678
Canta Sing 631
Capa Coat 69
Capital Capital 209
Capitán Captain 247
Captura Catch 435
Cara Face 702
Cargar Charge 30
Carne Meat 183
Carrera Race 446
Carril Rail 214
Carta Letter 730
Casa Home 838
Cáscara Shell 1
Caso Case 345
Cayó Fell 258
Cazar Hunt 457
Celda Cell 451
Centavo Cent 270
Centrar Center 614
Cerca Near 804
Cerrado Close 755
Certero Certain 595
Césped Grass 422
Chica Girl 697
Chico Boy 854
Cielo Sky 432
Cien Hundred 643
Ciencia Science 719
Cierto True 645
Cinco Five 642
Circulo Circle 475
Ciudad City 773
Claro Clear 554
Clase Class 671
Clima Weather 411
Coche Car 726
Cociente Quotient 3
Cocinar Cook 381
Cola Tail 553
Colegio School 791
Colina Hill 376
Colonia Colony 170
Color Color 703
Columna Column 114
Comer Eat 718
Comercio Trade 300
Comida Food 784
Comienzo Start 768
Como As 983
Cómo How 954
Comparar Compare 188
Compartir Share 34
Completar Complete 667
Completo Full 543
Comprar Buy 394
Compró Bought 72
Comprobar Check 517
Común Common 528
Con With 984
Condición Condition 60
Conectar Connect 41
Considerar Consider 372
Consonante Consonant 333
Construir Build 803
Contar Tell 850
Contento Happy 406
Contiene Contain 572
Continente Continent 100
Continuar Continue 150
Controlar Control 251
Corazón Heart 494
Corbata Tie 167
Correcto Correct 579
Correr Run 760
Corriente Stream 178
Corrió Ran 518
Cortar Cut 706
Corto Short 673
Cosa Thing 930
Costa Coast 368
Costo Cost 266
Costumbre Won't 208
Crear Create 195
Crecer Grow 790
Creció Grew 271
Creer Believe 450
Cruzar Cross 771
Cuadrado Square 465
Cual Which 949
Cuando When 958
